,road,id,model_type,name,lat,lon,length,condition,chainage
372,N1,100373,bridge,DOKHIN BASH-KHALI BOX CULVERT,22.5444897756363,91.6941310785454,5.2,A,210.776
373,N1,100374,link,Link,22.5417598995528,91.6953381765176,650.2999999999822,NaN,211.1045
374,N1,100375,bridge,SOTTANA MONDIR CULVERT,22.5390300234693,91.6965452744898,8.2,A,211.433
375,N1,100376,link,Link,22.5346989136577,91.69850469867345,1044.4000000000115,NaN,211.958
376,N1,100377,bridge,GULAM JUTE MILE BOX CULVERT,22.5303678038461,91.7004641228571,3.0,A,212.483
377,N1,100378,link,Link,22.5266518602825,91.702150369579,893.3499999999916,NaN,212.9345
378,N1,100379,bridge,KYSTELGATE ARCH,22.5229359167189,91.7038366163009,16.3,B,213.386
379,N1,100380,link,Link,22.51714151656555,91.7063137026161,1392.2949999999921,NaN,214.0965
380,N1,100381,bridge,Chotokumir Bridge,22.5113471164122,91.7087907889313,41.11,A,214.807
381,N1,100382,link,Link,22.508684580092847,91.710037805409,637.1950000000251,NaN,215.137
382,N1,100383,bridge,ROYL CIMINT GATE CULVETRT,22.5060220437735,91.7112848218867,4.5,A,215.467
383,N1,100384,link,Link,22.50305393867505,91.7127176561988,717.949999999985,NaN,215.8315
384,N1,100385,bridge,GORA MARA RCC GIRDER BRIDGE,22.5000858335766,91.7141504905109,17.6,A,216.196
385,N1,100386,link,Link,22.4952632156045,91.71621158195215,1170.7000000000116,NaN,216.7865
386,N1,100387,bridge,GORA MARI BOX CULVERT,22.4904405976324,91.7182726733934,3.0,B,217.377
387,N1,100388,link,Link,22.48799430226445,91.71890181255876,561.2499999999977,NaN,217.6595
388,N1,100389,bridge,BARAOWLLA BOX CULVERT,22.4855480068965,91.7195309517241,4.5,A,217.942
389,N1,100390,link,Link,22.48335611068655,91.71994715748784,485.1499999999952,NaN,218.19150000000002
390,N1,100391,bridge,MUDDO SONAISORI BRIDGE,22.4811642144766,91.7203633632516,23.2,B,218.441
391,N1,100392,link,Link,22.477008651915497,91.7218133586926,971.39999999999,NaN,218.934
392,N1,100393,bridge,HATIBORI BOX CULVERT,22.4728530893544,91.7232633541336,6.0,A,219.427
393,N1,100394,link,Link,22.4676458622772,91.7258970270668,1283.400000000002,NaN,220.076
394,N1,100395,bridge,SHLAKHAR PAD BRIDGE,22.4624386352,91.7285307,23.2,B,220.725
395,N1,100396,link,Link,22.45565074279355,91.7314065447179,1618.900000000005,NaN,221.541
396,N1,100397,bridge,KODOM RASUL BOX CULVERT,22.4488628503871,91.7342823894358,3.0,A,222.357
397,N1,100398,link,Link,22.4474710918141,91.73482490907075,315.3500000000125,NaN,222.522
398,N1,100399,bridge,SALAKHARPAD BRIDGE,22.4460793332411,91.7353674287057,26.3,C,222.687
